name,description,LookAt/latitude,LookAt/longitude,LookAt/altitude,longitude,latitude,altitude
Maipu Radio Ast. Obs. R Maipu,Modern Astronomical Observatory [446 meters AMSL],-33.5016666666667,-70.8583333333333,446,-70.8583333333333,-33.5016666666667,446
Manuel Foster Astrophys. Obs. Santiago/Cerro San  Cristobal,Modern Astronomical Observatory [840 meters AMSL],-33.4183333333333,-70.63,840,-70.63,-33.4183333333333,840
Paranal Obs. Antofagasta/Cerro Paranal,Modern Astronomical Observatory [2635 meters AMSL],-24.625,-70.4033333333333,2635,-70.4033333333333,-24.625,2635
Beijing Normal Univ. Obs. R Beijing,Modern Astronomical Observatory [70 meters AMSL],39.9566666666667,116.36,70,116.36,39.9566666666667,70
Beijin Obs. Huairou Solar Station,Modern Astronomical Observatory,40.3158941485277,116.594195159989,0,116.594195159989,40.3158941485277,0
Beijing Obs. Sta. R Miyun,Modern Astronomical Observatory [160 meters AMSL],40.5566666666667,116.765,160,116.765,40.5566666666667,160
Beijing Obs. Sta. R L Shahe,Modern Astronomical Observatory [40 meters AMSL],40.1016666666667,116.328333333333,40,116.328333333333,40.1016666666667,40
Beijing Obs. Sta. Tianjing,Modern Astronomical Observatory [5 meters AMSL],39.1333333333333,117.058333333333,5,117.058333333333,39.1333333333333,5
Beijing Obs. Sta. I Xinglong,Modern Astronomical Observatory [870 meters AMSL],40.395,117.575,870,117.575,40.395,870
Purple Mountain Obs. R Nanjing/Purple Mtn.,Modern Astronomical Observatory [267 meters AMSL],32.0666666666667,118.821666666667,267,118.821666666667,32.0666666666667,267
Shaanxi Ast. Obs. R Lintong,Modern Astronomical Observatory [468 meters AMSL],34.945,109.551666666667,468,109.551666666667,34.945,468
Shanghai Obs. Sta. R L Sheshan,Modern Astronomical Observatory [100 meters AMSL],31.0966666666667,121.186666666667,100,121.186666666667,31.0966666666667,100
Shanghai Obs. Sta. R Urumqui,Modern Astronomical Observatory [2080 meters AMSL],43.4716666666667,87.1783333333333,2080,87.1783333333333,43.4716666666667,2080
Shanghai Obs. Sta. R Xujiahui,Modern Astronomical Observatory [5 meters AMSL],31.19,121.426666666667,5,121.426666666667,31.19,5
Wuchang Time Obs. L Wuhan,Modern Astronomical Observatory [28 meters AMSL],30.5416666666667,114.345,28,114.345,30.5416666666667,28
Yunnan Obs. R Kunming,Modern Astronomical Observatory [1940 meters AMSL],25.025,102.788333333333,1940,102.788333333333,25.025,1940
National Ast. Obs. Bogot�,Modern Astronomical Observatory [2640 meters AMSL],4.59833333333333,-74.0816666666667,2640,-74.0816666666667,4.59833333333333,2640
Geodetical Faculty Obs. Zagreb,Modern Astronomical Observatory [146 meters AMSL],45.825,16.0216666666667,146,16.0216666666667,45.825,146
Hvar Obs. Hvar,Modern Astronomical Observatory [238 meters AMSL],43.1783333333333,16.4483333333333,238,16.4483333333333,43.1783333333333,238
Charles Univ. Ast. Inst. Prague,Modern Astronomical Observatory [267 meters AMSL],50.0766666666667,14.395,267,14.395,50.0766666666667,267
Nicholas Copernicus Obs. Brno,Modern Astronomical Observatory [304 meters AMSL],49.2033333333333,16.5833333333333,304,16.5833333333333,49.2033333333333,304
Ondrejov Obs. R Ondrejov,Modern Astronomical Observatory [533 meters AMSL],49.91,14.7833333333333,533,14.7833333333333,49.91,533
Prostejov Obs. Prostejov,Modern Astronomical Observatory [225 meters AMSL],49.4866666666667,17.1633333333333,225,17.1633333333333,49.4866666666667,225
Valassk� Mezir�c� Obs. Valassk� Mezir�c�,Modern Astronomical Observatory [338 meters AMSL],49.4633333333333,17.975,338,17.975,49.4633333333333,338
Copenhagen Univ. Obs. Brorfelde,Modern Astronomical Observatory [90 meters AMSL],55.625,11.6666666666667,90,11.6666666666667,55.625,90
Copenhagen Univ. Obs. Copenhagen,Modern Astronomical Observatory,55.6866666666667,12.5766666666667,0,12.5766666666667,55.6866666666667,0
Ole R�mer Obs. �rhus,Modern Astronomical Observatory [50 meters AMSL],56.1283333333333,10.1966666666667,50,10.1966666666667,56.1283333333333,50
Quito Ast. Obs. Quito,Modern Astronomical Observatory [2818 meters AMSL],-0.216666666666667,-78.4983333333333,2818,-78.4983333333333,-0.216666666666667,2818
Helw�n Obs. Helw�n,Modern Astronomical Observatory [116 meters AMSL],29.8583333333333,31.38,116,31.38,29.8583333333333,116
Kottamia Obs. Kottamia,Modern Astronomical Observatory [476 meters AMSL],29.9316666666667,31.825,476,31.825,29.9316666666667,476
Wilhelm Struve Astrophys. Obs. Tartu,Modern Astronomical Observatory,58.2666666666667,26.4666666666667,0,26.4666666666667,58.2666666666667,0
European Incoh. Scatter Facility R Sodankyl�,Modern Astronomical Observatory [197 meters AMSL],67.3633333333333,26.6266666666667,197,26.6266666666667,67.3633333333333,197
Mets�hovi Obs. Kirkkonummi,Modern Astronomical Observatory [60 meters AMSL],60.22,24.3966666666667,60,24.3966666666667,60.22,60
Mets�hovi Obs. Radio Rsch. Sta. R Kirkkonummi,Modern Astronomical Observatory [61 meters AMSL],60.2183333333333,24.3933333333333,61,24.3933333333333,60.2183333333333,61
Nyrolan,Modern Astronomical Observatory,62.342222,25.513056,0,25.513056,62.342222,0
Tuorla Obs. Piikki�,Modern Astronomical Observatory [40 meters AMSL],60.4166666666667,22.4466666666667,40,22.4466666666667,60.4166666666667,40
Univ. of Helsinki Obs. Helsinki,Modern Astronomical Observatory [33 meters AMSL],60.1616666666667,24.955,33,24.955,60.1616666666667,33
Besan�on Obs. Besan�on,Modern Astronomical Observatory [312 meters AMSL],47.25,5.98666666666667,312,5.98666666666667,47.25,312
Bordeaux Univ. Obs. R Floirac,Modern Astronomical Observatory [73 meters AMSL],44.835,-0.528333333333333,73,-0.528333333333333,44.835,73
C�te d'Azur Obs. Nice/Mont Gros,Modern Astronomical Observatory [372 meters AMSL],43.7233333333333,7.30166666666667,372,7.30166666666667,43.7233333333333,372
C�te d'Azur Obs. Calern Sta. I L St. Vallier-de-Thiey,Modern Astronomical Observatory [1270 meters AMSL],43.7483333333333,6.92666666666667,1270,6.92666666666667,43.7483333333333,1270
Grenoble Obs. R Gap/Plateau de Bure,Modern Astronomical Observatory [2552 meters AMSL],44.6333333333333,5.90833333333333,2552,5.90833333333333,44.6333333333333,2552
Lyon Univ. Obs. St. Genis Laval,Modern Astronomical Observatory [299 meters AMSL],45.695,4.785,299,4.785,45.695,299
